james_1
165.86,362.15,16:06:49.773 18/06/2025,23
94.77,383.82,16:06:49.829 18/06/2025,23
56.98,399.64,16:06:49.886 18/06/2025,23
25.42,409.25,16:06:49.944 18/06/2025,23
42.65,429.66,16:06:50.512 18/06/2025,23
60.71,419.07,16:06:50.573 18/06/2025,23
76.44,413.93,16:06:50.632 18/06/2025,23
85.61,413.92,16:06:50.692 18/06/2025,24
115.24,395.85,16:06:50.751 18/06/2025,24
144.28,391.28,16:06:50.878 18/06/2025,24
170.72,432.21,16:06:54.714 18/06/2025,25
172.98,401.72,16:06:54.749 18/06/2025,25
175.59,379.36,16:06:54.788 18/06/2025,26
181.56,333.08,16:06:54.914 18/06/2025,26
184.56,289.82,16:06:55.354 18/06/2025,26
191.18,271.73,16:06:55.394 18/06/2025,26
255.67,337.51,16:06:55.552 18/06/2025,27
349.48,372.66,16:06:55.595 18/06/2025,27
454.46,398.26,16:06:55.645 18/06/2025,27
562.57,409.45,16:06:55.698 18/06/2025,27
689.48,425.1,16:06:55.746 18/06/2025,27
563.34,393.43,18:17:55.633 21/06/2025,86
402.73,344.42,18:17:55.694 21/06/2025,86
276.04,306.7,18:17:55.760 21/06/2025,86
218.02,300.49,18:17:55.836 21/06/2025,87
141.61,273.5,18:17:55.899 21/06/2025,87
105.6,238.38,18:17:55.961 21/06/2025,87
123.36,207.72,18:17:56.091 21/06/2025,87
155.69,207.81,18:17:56.154 21/06/2025,87
182.31,206.69,18:17:56.449 21/06/2025,87
213.57,215.02,18:17:56.526 21/06/2025,87
234.23,218.54,18:17:56.603 21/06/2025,87
249.42,228.71,18:17:56.756 21/06/2025,87
262.38,243.66,18:17:56.836 21/06/2025,87
294.5,247.71,18:17:56.917 21/06/2025,87
306.11,264.46,18:17:56.995 21/06/2025,87
334.88,268.3,18:17:57.073 21/06/2025,87
360.85,267.61,18:17:57.248 21/06/2025,87
370.51,262.13,18:17:57.327 21/06/2025,88
402.5,273.44,18:17:58.084 21/06/2025,88
391.02,231.69,18:17:58.808 21/06/2025,88
404.97,227.1,18:17:58.979 21/06/2025,89
468.3,233.05,18:17:59.230 21/06/2025,89
490.31,233.63,18:17:59.308 21/06/2025,89
526.66,245.36,18:17:59.388 21/06/2025,89
508.53,245.6,18:17:59.465 21/06/2025,89
520.98,230.35,18:17:59.620 21/06/2025,89
546.9,216.95,18:17:59.697 21/06/2025,89
570.96,212.29,18:17:59.778 21/06/2025,89
599.95,196.98,18:17:59.858 21/06/2025,89
649.87,210.42,18:18:00.012 21/06/2025,89
621.07,217.48,18:18:00.342 21/06/2025,89
592.1,217.0,18:18:00.419 21/06/2025,89
551.51,232.5,18:18:00.577 21/06/2025,90
520.91,250.52,18:18:00.656 21/06/2025,90
556.87,255.91,18:18:00.891 21/06/2025,90
491.89,265.85,18:18:01.487 21/06/2025,90
421.58,277.3,18:18:01.581 21/06/2025,90
342.02,296.68,18:18:01.661 21/06/2025,90
319.72,309.31,18:18:01.737 21/06/2025,90
295.31,324.04,18:18:01.815 21/06/2025,90
244.92,330.51,18:18:01.891 21/06/2025,90
201.98,340.48,18:18:01.970 21/06/2025,90
159.78,346.3,18:18:02.122 21/06/2025,90
128.45,362.33,18:18:02.199 21/06/2025,91
101.93,344.38,18:18:02.281 21/06/2025,91
128.42,336.04,18:18:02.797 21/06/2025,91
146.0,333.56,18:18:02.863 21/06/2025,91
171.34,339.54,18:18:02.931 21/06/2025,91
195.89,339.22,18:18:03.016 21/06/2025,91
271.59,336.95,18:18:03.285 21/06/2025,91
311.25,326.41,18:18:03.694 21/06/2025,92
344.9,319.01,18:18:04.538 21/06/2025,92
387.46,318.17,18:18:04.809 21/06/2025,92
409.82,320.2,18:18:04.968 21/06/2025,92
429.97,319.49,18:18:05.047 21/06/2025,92
411.67,314.02,18:18:05.381 21/06/2025,93
429.26,321.93,18:18:05.469 21/06/2025,93
451.59,330.59,18:18:05.548 21/06/2025,93
480.78,332.79,18:18:05.626 21/06/2025,93
539.24,323.02,18:18:06.113 21/06/2025,93
572.07,317.73,18:18:06.394 21/06/2025,93
570.95,335.29,18:18:06.628 21/06/2025,93
595.82,334.1,18:18:06.887 21/06/2025,93
666.6,340.29,18:18:07.069 21/06/2025,94
666.57,323.59,18:18:07.226 21/06/2025,94
695.49,320.22,18:18:07.461 21/06/2025,94
715.71,362.32,18:18:07.539 21/06/2025,94
673.45,373.14,18:18:07.616 21/06/2025,94
628.2,383.32,18:18:07.694 21/06/2025,94
585.28,389.48,18:18:07.773 21/06/2025,94
542.81,391.34,18:18:07.852 21/06/2025,94
487.29,396.38,18:18:07.928 21/06/2025,94
431.18,400.0,18:18:08.006 21/06/2025,94
488.35,369.46,18:18:08.092 21/06/2025,94
513.64,357.29,18:18:08.178 21/06/2025,94
513.6,337.88,18:18:08.258 21/06/2025,94
470.79,345.12,18:18:08.522 21/06/2025,94
447.58,344.41,18:18:08.606 21/06/2025,94
443.92,341.11,18:18:08.709 21/06/2025,95
395.05,346.58,18:18:08.813 21/06/2025,95
352.38,338.87,18:18:08.888 21/06/2025,95
320.33,342.33,18:18:08.974 21/06/2025,95
269.99,352.27,18:18:09.066 21/06/2025,95
181.54,354.55,18:18:09.144 21/06/2025,95
